Date_sb,Date of Session,Day of Session,Month of Session,Numerical Value of Month,Year_sb,Date_c,Epoch,Date Reverse,Week,Entered On,Index,WTA Tournament,Log Date,Match Start Time,Time of Reading,WBGT,Air Temperature (TA),Black Globe Temperature (Globe Temp),Relative Humidity_sb,Type of Day,AQI Reading_sb,EWCR,Completion Status,Tournament,Year_sb,Tournament Number,Tournament Surface,Tournament Level,event-uuid_sb,group-uuid_sb,Date_catapult,Key Field,Date And Time,Days Of Week,End Date:,End Date And Time,Heat Stress Record Label,Label,Months,Start Date:,Start Date And Time,Template Label,Weeks,Year_catapult,EWR - Suspension Or Change In Time,Heat Reading Log - EWR Cause Change,Suspension/Change Match Date,Reason For Suspension/adaptation Of Start Time,Heat Stress Date,Heat Stress Match Start Time,Time Of Heat Reading,Heat Stress Index,Heat Rule In/out,Air Temperature,Ground Temperature,Relative Humidity_catapult,Type Of Day,AQI Reading_catapult,event-uuid_catapult,group-uuid_catapult
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202120.239.331.444203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/05/2021,10:00:00,9:30:00,20.2,Out,21.3,39.3,31.4,Sunny,41.0,b40696dd-044c-410c-8e80-f00fdab65ef8,cf222d3c-886d-456c-a982-64f9d7d139f3
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202120.239.331.444203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/05/2021,10:30:00,11:30:00,22.3,Out,23.6,43.6,28.0,Sunny,,b40696dd-044c-410c-8e80-f00fdab65ef8,cf222d3c-886d-456c-a982-64f9d7d139f3
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202120.239.331.444203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/05/2021,10:30:00,14:00:00,22.6,Out,24.1,42.1,29.2,Sunny,,b40696dd-044c-410c-8e80-f00fdab65ef8,cf222d3c-886d-456c-a982-64f9d7d139f3
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202120.239.331.444203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/06/2021,9:30:00,10:00:00,23.6,Out,25.3,41.8,37.8,Sunny,,b40696dd-044c-410c-8e80-f00fdab65ef8,cf222d3c-886d-456c-a982-64f9d7d139f3
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202120.239.331.444203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/06/2021,11:00:00,12:30:00,25.1,Out,30.3,41.3,29.7,Sunny,,b40696dd-044c-410c-8e80-f00fdab65ef8,cf222d3c-886d-456c-a982-64f9d7d139f3
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202120.239.331.444203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/07/2021,10:00:00,9:30:00,21.6,Out,23.4,39.6,34.2,Sunny,40.0,b40696dd-044c-410c-8e80-f00fdab65ef8,cf222d3c-886d-456c-a982-64f9d7d139f3
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202120.239.331.444203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/07/2021,11:00:00,11:30:00,22.8,Out,25.0,42.4,27.2,Sunny,,b40696dd-044c-410c-8e80-f00fdab65ef8,cf222d3c-886d-456c-a982-64f9d7d139f3
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202120.239.331.444203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/07/2021,10:30:00,18:30:00,16.3,Out,21.0,21.7,46.4,Sunny,,b40696dd-044c-410c-8e80-f00fdab65ef8,cf222d3c-886d-456c-a982-64f9d7d139f3
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202120.239.331.444203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/08/2021,10:00:00,10:00:00,17.7,Out,21.9,35.3,18.5,Sunny,43.0,b40696dd-044c-410c-8e80-f00fdab65ef8,cf222d3c-886d-456c-a982-64f9d7d139f3
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ABU DHABI,,,,,,,2021-07-01,44203119344203.289525463Abu Dhabi 202120.239.331.444203.289525463Sunny2021-W01,07.01.2021 6:56:55,4.0,1/07/2021,,Abu Dhabi 2021,Abu Dhabi 2021,2021-01,1/07/2021,07.01.2021 6:56:55,Environmental Data Entry Sheet,2021-W01,2021.0,,,,,1/08/2021,10:30:00,11:30:00,19.0,,21.6,34.2,18.0,Sunny,,b40696dd-044c-410c-8e80-f00fdab65ef8,cf222d3c-886d-456c-a982-64f9d7d139f3
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ADELAIDE 500,,,,,,,,44248105444249.0066666667Adelaide 202115.621.14544249.0066666667Cloudy2021-W07,22.02.2021 0:09:36,7.0,02-22-2021,,Adelaide 2021,Adelaide 2021,2021-02,2/21/2021,22.02.2021 0:09:36,Environmental Data Entry Sheet,2021-W07,2021.0,,,,,02-25-2021,11:00:00,10:30:00,15.6,Out,19.7,21.1,45.0,Cloudy,14.0,c08cbd5d-14cb-40ba-a2fe-79d2ed1e6bce,8b6ed871-5695-4774-ae27-ae76a57ad72f
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ADELAIDE 500,,,,,,,,44248105444249.0066666667Adelaide 202115.621.14544249.0066666667Cloudy2021-W07,22.02.2021 0:09:36,7.0,02-22-2021,,Adelaide 2021,Adelaide 2021,2021-02,2/21/2021,22.02.2021 0:09:36,Environmental Data Entry Sheet,2021-W07,2021.0,,,,,02-25-2021,11:00:00,13:00:00,16.9,Out,21.8,23.4,43.8,Partial Clouds,20.0,c08cbd5d-14cb-40ba-a2fe-79d2ed1e6bce,8b6ed871-5695-4774-ae27-ae76a57ad72f
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ADELAIDE 500,,,,,,,,44248105444249.0066666667Adelaide 202115.621.14544249.0066666667Cloudy2021-W07,22.02.2021 0:09:36,7.0,02-22-2021,,Adelaide 2021,Adelaide 2021,2021-02,2/21/2021,22.02.2021 0:09:36,Environmental Data Entry Sheet,2021-W07,2021.0,,,,,02-25-2021,11:00:00,16:00:00,17.4,Out,21.4,23.5,50.0,Partial Clouds,10.0,c08cbd5d-14cb-40ba-a2fe-79d2ed1e6bce,8b6ed871-5695-4774-ae27-ae76a57ad72f
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ADELAIDE 500,,,,,,,,44248105444249.0066666667Adelaide 202115.621.14544249.0066666667Cloudy2021-W07,22.02.2021 0:09:36,7.0,02-22-2021,,Adelaide 2021,Adelaide 2021,2021-02,2/21/2021,22.02.2021 0:09:36,Environmental Data Entry Sheet,2021-W07,2021.0,,,,,02-26-2021,1:00:00,14:30:00,18.6,Out,24.6,24.7,40.9,Sunny,,c08cbd5d-14cb-40ba-a2fe-79d2ed1e6bce,8b6ed871-5695-4774-ae27-ae76a57ad72f
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ADELAIDE 500,,,,,,,,44248105444249.0066666667Adelaide 202115.621.14544249.0066666667Cloudy2021-W07,22.02.2021 0:09:36,7.0,02-22-2021,,Adelaide 2021,Adelaide 2021,2021-02,2/21/2021,22.02.2021 0:09:36,Environmental Data Entry Sheet,2021-W07,2021.0,,,,,02-27-2021,4:00:00,3:30:00,18.8,Out,24.3,25.5,42.9,Sunny,,c08cbd5d-14cb-40ba-a2fe-79d2ed1e6bce,8b6ed871-5695-4774-ae27-ae76a57ad72f
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ADELAIDE 500,,,,,,,,44248105444249.0066666667Adelaide 202115.621.14544249.0066666667Cloudy2021-W07,22.02.2021 0:09:36,7.0,02-22-2021,,Adelaide 2021,Adelaide 2021,2021-02,2/21/2021,22.02.2021 0:09:36,Environmental Data Entry Sheet,2021-W07,2021.0,,,,,02-27-2021,6:00:00,6:30:00,20.1,Out,27.3,27.9,34.8,Sunny,,c08cbd5d-14cb-40ba-a2fe-79d2ed1e6bce,8b6ed871-5695-4774-ae27-ae76a57ad72f
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ADELAIDE 500,,,,,,,,44248105444249.0066666667Adelaide 202117.923.448.444249.0066666667Cloudy2021-W07,22.02.2021 0:09:36,7.0,02-22-2021,,Adelaide 2021,Adelaide 2021,2021-02,2/21/2021,22.02.2021 0:09:36,Environmental Data Entry Sheet,2021-W07,2021.0,,,,,02-21-2021,11:00:00,12:00:00,17.9,Out,22.5,23.4,48.4,Cloudy,,54ce8b79-5b19-4c14-9fe1-b4eac772b6e1,e7c0c537-07ae-4388-810e-8aa62bb5daee
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ADELAIDE 500,,,,,,,,44248105444249.0066666667Adelaide 202117.923.448.444249.0066666667Cloudy2021-W07,22.02.2021 0:09:36,7.0,02-22-2021,,Adelaide 2021,Adelaide 2021,2021-02,2/21/2021,22.02.2021 0:09:36,Environmental Data Entry Sheet,2021-W07,2021.0,,,,,02-21-2021,11:00:00,15:00:00,18.3,Out,22.4,23.9,49.5,Sunny,,54ce8b79-5b19-4c14-9fe1-b4eac772b6e1,e7c0c537-07ae-4388-810e-8aa62bb5daee
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ADELAIDE 500,,,,,,,,44248105444249.0066666667Adelaide 202117.923.448.444249.0066666667Cloudy2021-W07,22.02.2021 0:09:36,7.0,02-22-2021,,Adelaide 2021,Adelaide 2021,2021-02,2/21/2021,22.02.2021 0:09:36,Environmental Data Entry Sheet,2021-W07,2021.0,,,,,02-22-2021,11:00:00,10:30:00,16.6,Out,20.7,21.7,50.1,Sunny,33.0,54ce8b79-5b19-4c14-9fe1-b4eac772b6e1,e7c0c537-07ae-4388-810e-8aa62bb5daee
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ADELAIDE 500,,,,,,,,44248105444249.0066666667Adelaide 202117.923.448.444249.0066666667Cloudy2021-W07,22.02.2021 0:09:36,7.0,02-22-2021,,Adelaide 2021,Adelaide 2021,2021-02,2/21/2021,22.02.2021 0:09:36,Environmental Data Entry Sheet,2021-W07,2021.0,,,,,02-22-2021,11:00:00,13:00:00,17.6,Out,22.8,23.9,43.0,Sunny,39.0,54ce8b79-5b19-4c14-9fe1-b4eac772b6e1,e7c0c537-07ae-4388-810e-8aa62bb5daee
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ADELAIDE 500,,,,,,,,44248105444249.0066666667Adelaide 202117.923.448.444249.0066666667Cloudy2021-W07,22.02.2021 0:09:36,7.0,02-22-2021,,Adelaide 2021,Adelaide 2021,2021-02,2/21/2021,22.02.2021 0:09:36,Environmental Data Entry Sheet,2021-W07,2021.0,,,,,02-23-2021,11:00:00,10:30:00,14.4,Out,18.7,21.4,41.0,Cloudy,20.0,54ce8b79-5b19-4c14-9fe1-b4eac772b6e1,e7c0c537-07ae-4388-810e-8aa62bb5daee
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ADELAIDE 500,,,,,,,,44248105444249.0066666667Adelaide 202117.923.448.444249.0066666667Cloudy2021-W07,22.02.2021 0:09:36,7.0,02-22-2021,,Adelaide 2021,Adelaide 2021,2021-02,2/21/2021,22.02.2021 0:09:36,Environmental Data Entry Sheet,2021-W07,2021.0,,,,,02-23-2021,11:00:00,13:00:00,15.8,Out,26.7,20.6,35.8,Cloudy,38.0,54ce8b79-5b19-4c14-9fe1-b4eac772b6e1,e7c0c537-07ae-4388-810e-8aa62bb5daee
,,,,,,,,,,,,,,,,,,,,,,,,2021 - ADELAIDE 500,,,,,,,,44248105444249.0066666667Adelaide 202117.923.448.444249.0066666667Cloudy2021-W07,22.02.2021 0:09:36,7.0,02-22-2021,,Adelaide 2021,Adelaide 2021,2021-02,2/21/2021,22.02.2021 0:09:36,Environmental Data Entry Sheet,2021-W07,2021.0,,,,,02-23-2021,11:00:00,15:30:00,15.8,Out,22.7,23.4,29.3,Partial Clouds,20.0,54ce8b79-5b19-4c14-9fe1-b4eac772b6e1,e7c0c537-07ae-4388-810e-8aa62bb5daee
